,#name_w_spin,metal,Ox,spin,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,SSE
386,mn_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_fluoride,mn,3,3,-0.56449,-0.55673,-0.5567,-0.51024,-0.38228,1.13677,-0.29626,-0.44298,-0.46071,-0.46079,-0.46034,-0.46037,0.1034264000002167,0.1964461000000028,1.5805422900000394,3.7099794200000815,6.258933770000112,-35.31976431
258,fe_3_cyanide_cyanide_cyanide_cyanide_cyanide_cyanide,fe,3,4,0.1653,0.1653,0.4117,0.4117,0.4117,0.65591,0.01194,0.01194,0.01194,0.01194,0.01194,0.01194,0.1389837900001111,0.2318402200000946,2.356429840000146,5.158340339999995,8.187347369999998,23.44405598
147,fe_2_carbonyl_carbonyl_carbonyl_carbonyl_carbonyl_fluoride,fe,2,3,-0.57232,-0.57221,-0.4958,-0.46001,-0.43623,0.60182,-0.45548,0.52448,0.52473,0.52476,0.52446,0.51354,0.0914334600001893,0.1440907800001696,0.1694952400000602,2.663996020000013,5.352529350000168,28.86904308
134,fe_2_ammonia_ammonia_ammonia_ammonia_carbonyl_carbonyl,fe,2,3,-0.65096,-0.64327,-0.59383,-0.57034,-0.53908,0.97055,-1.08068,-1.08066,-1.08055,-1.08055,0.48994,0.48994,0.0914334600001893,0.1440907800001696,0.1694952400000602,2.663996020000013,5.352529350000168,10.7917601
329,mn_2_carbonyl_carbonyl_carbonyl_carbonyl_carbonyl_cyanide,mn,2,4,-0.52238,-0.52238,-0.5214,-0.47372,-0.41026,0.67225,-0.22916,0.51439,0.51439,0.51396,0.51396,0.50896,0.1158027500000571,0.1931937399999697,1.8702169499999852,4.113007390000121,6.5720615800000814,27.2592603
74,cr_2_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_phosphine_phosphine,cr,2,3,-0.54832,-0.54013,-0.53794,-0.47957,-0.39163,0.39081,-0.1541,-0.1553,0.04612,0.0568,-0.27981,-0.28241,0.0518667199999072,0.1260516600000301,1.412543039999946,3.087393519999978,5.1110673900000165,-29.86549759
472,mn_3_misc_misc_misc_misc_misc_water,mn,3,3,-0.70416,-0.7036,-0.70327,-0.63749,-0.52494,0.44971,0.35532,0.35279,0.36136,0.35675,-0.87946,0.26646,0.1034264000002167,0.1964461000000028,1.5805422900000394,3.7099794200000815,6.258933770000112,-30.0294032
180,fe_2_misc_misc_misc_misc_misc_fluoride,fe,2,3,-0.4157,-0.41162,-0.35463,-0.31122,-0.29695,0.65669,-0.54275,0.3076,0.29229,0.29206,0.29164,0.29068,0.0914334600001893,0.1440907800001696,0.1694952400000602,2.663996020000013,5.352529350000168,32.37556896
186,fe_2_misc_misc_water_water_water_water,fe,2,3,-0.59493,-0.59284,-0.55274,-0.54646,-0.51454,1.02724,-0.90504,-0.90401,-0.90487,0.20084,-0.90842,0.20774,0.0914334600001893,0.1440907800001696,0.1694952400000602,2.663996020000013,5.352529350000168,4.778651803
340,mn_2_chloride_chloride_chloride_chloride_carbonyl_carbonyl,mn,2,4,0.06328,0.06599,0.06636,0.06636,0.109,0.75455,0.54009,0.54009,-0.70026,-0.70027,-0.70027,-0.70026,0.1158027500000571,0.1931937399999697,1.8702169499999852,4.113007390000121,6.5720615800000814,9.199315425
473,mn_3_misc_misc_misc_misc_phosphine_phosphine,mn,3,3,-0.71272,-0.70901,-0.70899,-0.60219,-0.52477,0.30197,0.34665,0.34559,0.34407,0.34298,0.03157,0.03142,0.1034264000002167,0.1964461000000028,1.5805422900000394,3.7099794200000815,6.258933770000112,-35.12533661
499,mn_3_water_water_water_water_water_misc,mn,3,3,-0.86514,-0.81929,-0.78977,-0.7636,-0.65568,1.21647,-0.85496,0.30546,-0.86892,-0.87077,-0.90385,-0.90531,0.1034264000002167,0.1964461000000028,1.5805422900000394,3.7099794200000815,6.258933770000112,-31.52519879
12,co_3_ammonia_ammonia_ammonia_ammonia_ammonia_water,co,3,3,-0.93239,-0.92417,-0.88363,-0.76913,-0.75667,1.24435,-0.88804,-1.00982,-1.02439,-1.04276,-1.01801,-1.04211,0.1075471399999514,0.1699937999999292,0.4691007599999466,3.535931779999828,6.848655710000003,17.79019088
